Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category
09:14.1,17/07/2024,18/07/2024,Hotel St. James,22,1,8.68,0.6454507089401917,0.7861019552849688,0.9316978675378538,10.104529616724738,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
09:48.1,17/07/2024,19/07/2024,Hotel St. James,22,2,8.68,0.6454507089401917,0.6447802554584576,0.8580382505719364,10.071942446043163,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
10:22.8,17/07/2024,20/07/2024,Hotel St. James,22,3,8.68,0.6454507089401917,0.7861019552849688,0.9316978675378538,10.104529616724738,0,0,0,1,16,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
10:57.5,17/07/2024,21/07/2024,Hotel St. James,22,4,8.68,0.6454507089401917,0.8567628051982245,0.9726198769633634,10.273972602739724,0,0,0,1,14,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
12:07.7,18/07/2024,19/07/2024,Hotel St. James,23,1,8.68,0.6454507089401917,0.3621368558054351,0.7107190166401016,10.0,0,0,0,1,13,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
14:26.2,18/07/2024,23/07/2024,Hotel St. James,23,5,8.68,0.6454507089401917,0.1324890935873543,0.5961373902486745,10.16260162601626,0,0,0,1,15,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
16:49.3,19/07/2024,23/07/2024,Hotel St. James,24,4,8.68,0.6454507089401917,0.07949345615241259,0.5633997827082668,9.917355371900827,0,0,0,1,15,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
17:24.6,19/07/2024,24/07/2024,Hotel St. James,24,5,8.68,0.6454507089401917,0.1324890935873543,0.5961373902486745,10.16260162601626,0,0,0,1,11,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
18:37.5,20/07/2024,22/07/2024,Hotel St. James,25,2,8.68,0.6454507089401917,0.07949345615241259,0.5633997827082668,9.917355371900827,0,0,0,1,15,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
19:50.9,20/07/2024,24/07/2024,Hotel St. James,25,4,8.68,0.6454507089401917,-0.06182824367409868,0.4897401657423494,9.871244635193133,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
20:26.2,20/07/2024,25/07/2024,Hotel St. James,25,5,8.68,0.6454507089401917,0.1324890935873543,0.5961373902486745,10.16260162601626,0,0,0,1,14,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
21:07.3,21/07/2024,22/07/2024,Hotel St. James,26,1,8.68,0.6454507089401917,-0.7861019552849688,0.12144208091276253,10.106382978723405,0,0,0,1,11,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
21:18.8,21/07/2024,22/07/2024,Doxie Hotel,26,1,8.770833048042908,-1.5601496710241656,-1.2453974797211305,-1.4172254734864005,0.0,0,0,0,0,243,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
21:58.4,21/07/2024,23/07/2024,Hotel St. James,26,2,8.68,0.6454507089401917,-0.7861019552849688,0.12144208091276253,10.106382978723405,0,0,0,1,6,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
22:50.2,21/07/2024,24/07/2024,Hotel St. James,26,3,8.68,0.6454507089401917,-0.3974672807620629,0.31786772615520886,9.905660377,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
