score_expedia,reviews_expedia,star_rating_expedia,location_rating_expedia,km_from_center_expedia,Free_cancellation_expedia,Breakfast_expedia,score_booking,reviews_booking,star_rating_booking,location_rating_booking,km_from_center_booking,Free_cancellation_booking,Breakfast_booking,score_diff,reviews_diff,star_rating_diff,location_rating_diff,km_diff,cancellation_diff,breakfast_diff,Index,index
9.29,144.0,3.0,9.322012578616352,5.8,0.0,0.0,8.7,1020.0,3.0,9.1,5.8,0.0,1.0,-0.5899999999999999,876.0,0.0,-0.22201257861635249,0.0,0.0,1.0,194.0,19.0
8.68,1016.0,4.0,9.306447036569988,6.7,0.0,0.0,8.1,1497.0,4.0,9.335996215193298,6.7,0.0,0.0,-0.5800000000000001,481.0,0.0,0.004939580286320299,0.0,0.0,0.0,104.0,94.0
8.770833048042908,1353.0,4.0,9.445408500330323,1.4,1.0,0.0,7.2,2154.0,4.0,9.335996215193298,1.4,1.0,0.0,-1.5708330480429078,801.0,0.0,0.004939580286320299,0.0,0.0,0.0,3.0,38.0
8.74974922398301,1000.0,4.0,9.306447036569988,2.7,0.0,0.0,7.0,4483.0,4.0,9.335996215193298,2.7,0.0,0.0,-1.7497492239830095,3483.0,0.0,0.004939580286320299,0.0,0.0,0.0,93.0,66.0
8.28,363.0,4.0,9.445408500330323,7.0,1.0,0.0,7.9,1572.0,4.0,9.335996215193298,7.0,1.0,0.0,-0.379999999999999,1209.0,0.0,0.004939580286320299,0.0,0.0,0.0,7.0,82.0
8.88,1170.0,4.0,9.306447036569988,2.3,0.0,0.0,8.1,876.0,4.0,9.335996215193298,2.3,0.0,0.0,-0.7800000000000011,-294.0,0.0,0.004939580286320299,0.0,0.0,0.0,40.0,126.0
8.28,1021.0,4.0,9.445408500330323,2.7,0.0,0.0,7.4,725.0,4.0,9.335996215193298,2.7,0.0,0.0,-0.879999999999999,-296.0,0.0,0.004939580286320299,0.0,0.0,0.0,22.0,131.0
9.09,1055.0,3.0,9.4,2.8,0.0,0.0,8.6,2621.0,3.0,9.0,2.8,0.0,0.0,-0.4900000000000002,1566.0,0.0,-0.40000000000000036,0.0,0.0,0.0,71.0,34.0
8.08,3726.0,4.0,9.306447036569988,1.9,1.0,0.0,7.3,2671.0,4.0,9.335996215193298,1.9,1.0,0.0,-0.7800000000000002,-1055.0,0.0,0.004939580286320299,0.0,0.0,0.0,5.0,86.0
8.68,1268.0,3.0,9.6,1.2,1.0,0.0,8.3,1818.0,3.0,9.6,1.2,1.0,0.0,-0.379999999999999,550.0,0.0,0.0,0.0,0.0,0.0,13.0,136.0
